ID_REF;a;b;c;d;e;f;g;h;i
ILMN_1687265;7.11796;7.00538;6.72439;6.82243;6.81342;7.14908;6.85167;6.88318;7.05785
ILMN_1687266;7.45087;7.36005;7.35429;7.53939;6.93306;7.21292;7.29304;7.25353;7.28256
ILMN_1687268;8.16741;7.1125;7.31277;8.1679;7.13792;6.82136;8.25567;7.01975;6.99506
ILMN_1687273;7.27891;7.34888;7.31612;7.39383;7.41284;7.45051;7.22322;7.03518;7.36406
ILMN_1687275;7.17769;7.66056;7.64443;7.30358;7.25245;7.79474;7.33881;7.76446;7.87794
ILMN_1687276;6.881;7.06035;6.80719;7.00413;6.90801;6.99774;6.87232;6.79569;6.87289
ILMN_1687277;6.77263;6.81382;7.01413;6.97942;7.04489;6.84566;6.86675;6.85872;6.98055
ILMN_1687279;8.91768;8.76551;9.38667;8.8331;9.07979;8.99011;8.88068;8.96245;9.37771
ILMN_1687284;6.99609;7.27614;6.85735;7.18505;7.31179;7.0798;7.20936;7.18366;7.11931
ILMN_1687291;7.10632;6.94684;6.97924;6.85095;7.23183;7.09902;6.89065;7.02512;6.99064
ILMN_1687301;11.9569;11.4597;10.7777;12.4367;10.7269;12.4309;12.4498;11.7631;12.7321
ILMN_1687303;7.4446;7.54929;7.67334;7.73087;7.47245;7.95644;7.46867;7.71339;8.22384
ILMN_1687306;6.94225;7.25886;6.89011;7.11639;7.06558;7.16953;6.93484;6.95862;7.25788
ILMN_1687315;9.24257;9.65745;10.5304;9.2097;9.65798;9.72748;9.53862;9.39546;10.1206
ILMN_1687316;8.02029;7.63723;7.26573;8.23305;7.48359;7.47331;8.3077;7.57306;7.4031
ILMN_1687319;6.808;6.78207;6.95585;6.84832;6.83747;6.87913;6.66202;6.75451;6.70427
ILMN_1687331;6.966;7.13484;7.17503;7.05348;7.17912;7.10131;7.29348;7.0137;6.91212
ILMN_1687332;6.7914;6.86275;7.04308;6.76273;6.834;6.80644;6.69794;6.94582;6.84606
ILMN_1687335;7.18063;6.94242;6.91808;7.20589;7.0133;6.99749;7.10503;6.78739;7.1999
ILMN_1687351;8.2591;8.53023;9.70539;8.10167;8.99397;9.26863;7.90699;8.29343;9.1888
ILMN_1687353;6.93665;7.07605;7.14711;7.01118;7.05701;7.07454;7.14141;7.02555;7.2367
ILMN_1687358;7.044;6.97924;7.05559;6.88552;6.99516;7.02684;6.9468;6.81436;6.91997
ILMN_1687359;9.65845;9.60573;8.92684;9.61441;8.38841;9.57;9.45176;9.56435;9.19512
ILMN_1687362;6.86206;7.01878;7.11233;6.79624;6.80628;6.79131;6.84842;7.00419;6.81077
ILMN_1687369;6.96445;6.94399;6.83991;7.19763;6.80595;7.04894;7.01808;7.03993;7.01225
ILMN_1687371;6.92286;6.90184;6.89285;6.92955;6.9021;6.87933;6.93358;6.9193;6.84531
ILMN_1687375;10.3077;10.2466;12.838;10.6557;10.7462;13.0642;10.7051;10.1318;13.3987
ILMN_1687384;10.1161;8.85805;10.7129;9.76517;7.94865;10.819;10.1457;8.86297;10.4411
ILMN_1687387;6.91059;6.65022;6.82841;6.89272;6.84116;6.67411;6.7934;6.8874;6.81565
ILMN_1687390;7.12074;7.1132;6.99064;6.90499;7.11973;6.81499;6.9506;7.00088;6.77828
ILMN_1687391;7.08879;7.30648;7.14856;7.00061;7.08912;7.092;7.22895;6.98987;7.17472
ILMN_1687392;7.17588;7.32769;6.95469;7.06159;6.99189;7.04135;7.25386;7.14573;7.1518
